action,original,new,status
RENAME,remove_redundant_prefixes.py,remove-redundant-prefixes.py,completed
RENAME,rename-suno-files.py,instagram-rename-suno-files.py,completed
RENAME,rename_by_purpose.py,rename-by-purpose.py,completed
RENAME,render_text.py,render-text.py,completed
RENAME,reorganize.py,instagram-reorganize.py,completed
RENAME,reorganize_by_service.py,reorganize-by-service.py,completed
RENAME,reportbot.py,instagram-reportbot.py,completed
RENAME,requirements.py,instagram-requirements.py,completed
RENAME,reset_following.py,reset-following.py,completed
RENAME,root-scripts.py,instagram-root-scripts.py,completed
RENAME,save-unfollowers-into.py,instagram-save-unfollowers-into.py,completed
RENAME,save-users-following.py,instagram-save-users-following.py,completed
RENAME,scan-leonardo-comprehensive.py,instagram-scan-leonardo-comprehensive.py,completed
RENAME,scrape-suno-api.py,suno-scrape-suno-api.py,completed
LIBRARY,request.py,_library/request.py,completed
LIBRARY,resource-cache.py,_library/resource-cache.py,completed
LIBRARY,response.py,_library/response.py,completed
LIBRARY,sample-config.py,_library/sample-config.py,completed
DELETE,safeduplicatecleanup-v1.py,,completed
