action,original,new,status
RENAME,check_file.py,check-file.py,completed
RENAME,checkpoint.py,instagram-checkpoint.py,completed
RENAME,clean_flatten_names.py,clean-flatten-names.py,completed
RENAME,clean_folder_names_no_vols.py,clean-folder-names-no-vols.py,completed
RENAME,clipEditor.py,clip-editor.py,completed
RENAME,collect-stats.py,instagram-collect-stats.py,completed
RENAME,combiner.py,instagram-combiner.py,completed
RENAME,compare_versions.py,compare-versions.py,completed
RENAME,comprehensive_dedup_rename.py,comprehensive-dedup-rename.py,completed
RENAME,comprehensive_folder_consolidation.py,comprehensive-folder-consolidation.py,completed
RENAME,comprehensive_music_content_scan.py,comprehensive-music-content-scan.py,completed
RENAME,comprehensive_transcript_search.py,comprehensive-transcript-search.py,completed
RENAME,comprehensive_verifier.py,comprehensive-verifier.py,completed
RENAME,consolidate_versions.py,consolidate-versions.py,completed
RENAME,content-creation-leonardo.py,leonardo-content-creation-leonardo.py,completed
RENAME,content-creation-suno.py,suno-content-creation-suno.py,completed
RENAME,content-factory.py,leonardo-content-factory.py,completed
RENAME,content_aware_organizer.py,content-aware-organizer.py,completed
LIBRARY,config.py,_library/config.py,completed
LIBRARY,config.py.py,_library/config.py.py,completed
LIBRARY,constants.py,_library/constants.py,completed
DELETE,cleanup-messy-names.py,,completed
