action,original,new,status
RENAME,leoup.py,leonardo-leoup.py,completed
RENAME,like-follow.py,instagram-like-follow.py,completed
RENAME,like-hashtags-from.py,instagram-like-hashtags-from.py,completed
RENAME,like-hashtags.py,instagram-like-hashtags.py,completed
RENAME,like-location-feed.py,instagram-like-location-feed.py,completed
RENAME,like-user-followers.py,instagram-like-user-followers.py,completed
RENAME,like-user-following.py,instagram-like-user-following.py,completed
RENAME,like-users-from.py,instagram-like-users-from.py,completed
RENAME,like-users.py,instagram-like-users.py,completed
RENAME,like-your-last.py,instagram-like-your-last.py,completed
RENAME,loop-upscale.py,leonardo-loop-upscale.py,completed
RENAME,merge-csv.py,suno-merge-csv.py,completed
RENAME,merge-suno-csv.py,suno-merge-suno-csv.py,completed
RENAME,merge_moonlight_and_misc.py,merge-moonlight-and-misc.py,completed
RENAME,merge_other_content_albums.py,merge-other-content-albums.py,completed
RENAME,message-users.py,instagram-message-users.py,completed
RENAME,model.py,suno-model.py,completed
RENAME,multi_depth_folder_analyzer.py,multi-depth-folder-analyzer.py,completed
RENAME,music-sort-dedup.py,suno-music-sort-dedup.py,completed
RENAME,myinfo.py,leonardo-myinfo.py,completed
RENAME,newsletter-empire.py,leonardo-newsletter-empire.py,completed
LIBRARY,models.py,_library/models.py,completed
LIBRARY,numpy-array-examples.py,_library/numpy-array-examples.py,completed
